コード,年度,自己資本比率,売上高,営業利益,一株配当,配当性向,連続増配,減配なし
3726,20-Sep,32.7,1967541000.0,-397831000,-,-,0.0,9.0
3733,20-Oct,84.9,20499889000.0,3352187000,85,20.86,0.0,0.0
3738,20-Mar,30.4,474000000000.0,13726000000,75,33.54,0.0,9.0
3741,20-Mar,83.2,6343928000.0,930591000,73,35.72,3.0,7.0
3744,20-Dec,21.9,14841000000.0,236000000,10,13.98,1.0,4.0
3747,20-Sep,63.9,2195658000.0,19348000,-,-,,
3750,20-Mar,24.6,1180408000.0,-129159000,10,42.03,2.0,9.0
3751,20-Mar,14.2,97887000000.0,2456000000,10,13.76,0.0,2.0
3753,20-Mar,31.1,4517542000.0,542872000,-,-,0.0,2.0
3760,20-May,68,1678933000.0,-271831000,-,-,,
3762,20-Mar,46.1,28553244000.0,3028303000,15,38.39,5.0,10.0
3763,20-Mar,83.2,5052786000.0,1470085000,45,51.1,4.0,10.0
3766,20-Mar,69.5,8350606000.0,-276799000,13,-,0.0,2.0
3768,20-Mar,82.1,3150052000.0,507088000,20,21.37,9.0,9.0
3769,20-Sep,16.5,33046404000.0,10388667000,52,34.73,9.0,9.0
3770,20-Apr,95.4,3789027000.0,44686000,-,-,0.0,1.0
3771,20-Mar,58.8,16250973000.0,1723049000,50,20.26,1.0,1.0
3772,20-Mar,34.8,13220816000.0,2708359000,20,6.82,2.0,8.0
3773,20-Mar,88.3,4747341000.0,695444000,-,-,0.0,2.0
3774,20-Mar,38.3,204000000000.0,8225172000,13.5,30.38,0.0,5.0
3778,20-Mar,25.5,21908899000.0,939206000,2.5,56.97,0.0,10.0
3779,20-Mar,66.5,1267315000.0,51720000,-,-,0.0,1.0
3787,20-Mar,96.9,524030000.0,-176031000,-,-,0.0,6.0
3791,20-May,44.3,9062984000.0,282947000,5,-,0.0,4.0
3793,20-Mar,32.9,10150166000.0,617072000,-,-,,
3796,20-Mar,81,2123813000.0,123042000,5,47.45,0.0,5.0
3798,20-Mar,78.9,6387867000.0,1331844000,26,19.43,9.0,9.0
3799,20-Mar,68.3,18428343000.0,433992000,12,29.36,2.0,4.0
3800,20-Mar,74.9,10138223000.0,1073196000,62,53.62,2.0,3.0
3802,20-Mar,76.9,1305905000.0,135350000,10,13.07,0.0,5.0
3804,20-Oct,65.2,3854536000.0,727322000,14,12.71,4.0,9.0
3810,20-May,80.3,12997762000.0,639200000,10,14.81,0.0,9.0
3814,20-Sep,2,1291206000.0,-508257000,-,-,1.0,1.0
3816,20-Jul,81.9,2766569000.0,455076000,15.83,17.89,0.0,8.0
3817,20-Mar,57.4,43642000000.0,4948000000,110,-,0.0,5.0
3823,20-Aug,58.5,1147162000.0,-431857000,-,-,0.0,4.0
3826,20-Feb,68.9,4554211000.0,661225000,13,38.65,2.0,2.0
3834,20-Mar,87.5,10265000000.0,1606000000,18.5,44.96,1.0,10.0
3835,20-Mar,89.9,4441416000.0,1291914000,5.95,26.17,0.0,0.0
3836,20-Jun,61.1,15691533000.0,2278690000,9,18.32,0.0,0.0
3837,20-Mar,58.3,13315368000.0,1213977000,32,33.26,10.0,10.0
3839,20-Mar,74.7,5151966000.0,523805000,10,22.42,0.0,6.0
3840,20-Mar,61.8,2483937000.0,-546216000,-,-,0.0,4.0
3841,20-Mar,84.3,1893913000.0,130094000,20,41.35,0.0,7.0
3842,20-Mar,45.7,3878513000.0,-574073000,-,-,0.0,4.0
3843,20-Apr,19,55295010000.0,2587802000,7,-,0.0,6.0
3844,20-Mar,75.8,20932344000.0,2833548000,29,50.53,0.0,0.0
3845,20-Mar,33,1666492000.0,-235911000,-,-,,
3847,20-Mar,58.9,10813200000.0,815689000,120,30.77,5.0,8.0
3848,20-Mar,82.5,2148633000.0,365694000,43,42.84,3.0,3.0
3850,20-Mar,62.8,6915347000.0,720796000,25,20.73,5.0,5.0
3851,20-Mar,70.1,3331121000.0,460116000,4,7.51,1.0,9.0
3852,20-Dec,56.5,13672000000.0,827000000,18,24.84,2.0,8.0
3853,20-Mar,58.6,2676744000.0,-262052000,4,-,0.0,0.0
3854,20-Jul,49,12679627000.0,1700135000,15,25.22,0.0,0.0
3856,20-Jun,14.2,6678034000.0,361577000,17,41.54,0.0,5.0
3857,20-Mar,53.4,40466000000.0,1767009000,24,54.89,0.0,0.0
3858,20-Mar,85.8,2346683000.0,35484000,-,-,0.0,0.0
3861,20-Mar,36.7,1510000000000.0,1.06E+11,14,22.14,1.0,9.0
3863,20-Mar,27.5,1040000000000.0,35048000000,40,32.58,0.0,0.0
3864,20-Mar,28.5,195000000000.0,1976000000,5,27.84,0.0,9.0
3865,20-Mar,52.3,265000000000.0,11208000000,12,28.1,0.0,9.0
3877,20-Mar,40.1,95140000000.0,2057000000,50,72.58,0.0,6.0
3878,20-Mar,20.6,30995000000.0,-64000000,-,50,0.0,4.0
3880,20-Mar,26.1,546000000000.0,30628000000,13.5,8.18,0.0,9.0
3891,20-Mar,66,13099452000.0,995046000,20,31.12,1.0,9.0
3892,20-May,68,10032377000.0,1350975000,15,7.14,1.0,9.0
3895,20-Mar,53.9,12869820000.0,943346000,18,22.06,2.0,2.0
3896,20-Mar,28.2,15353164000.0,246859000,-,-,0.0,2.0
3900,20-Sep,61.2,8728350000.0,-298359000,-,-,0.0,0.0
3902,20-Dec,77,4579000000.0,1146000000,3.6,20.14,0.0,4.0
3903,20-Apr,71.1,19827695000.0,2225402000,5,8.54,0.0,6.0
3907,20-Nov,54.6,4134000000.0,73000000,-,-,0.0,0.0
3908,20-Mar,77.5,2019443000.0,191480000,-,-,0.0,0.0
3910,20-Mar,56.8,2380616000.0,314443000,8,22.03,0.0,1.0
3912,20-Dec,87.3,2855000000.0,863000000,-,0.01,0.0,1.0
3913,20-Dec,88.1,913000000.0,32000000,-,-,0.0,3.0
3914,20-Dec,72.8,2192000000.0,313000000,-,-,0.0,3.0
3915,20-Feb,58.5,9300399000.0,725342000,-,-,0.0,1.0
3916,20-Jun,68.2,13495896000.0,1352372000,20,28.25,7.0,7.0
3917,20-Mar,66.3,5337307000.0,114896000,-,-,0.0,2.0
3918,20-Sep,40.4,16758152000.0,750207000,46,86.07,0.0,0.0
3919,20-Feb,54.4,6207962000.0,1390534000,21,18.83,0.0,0.0
3920,20-Sep,50.5,1946940000.0,198665000,-,-,0.0,1.0
3921,20-Jan,66.6,3742984000.0,699063000,7.5,17.96,3.0,3.0
3922,20-Feb,74.3,2891311000.0,560377000,-,-,0.0,2.0
3923,20-Mar,73.8,11608041000.0,1174468000,1.6,24.93,0.0,0.0
3924,20-Mar,66,9094846000.0,709492000,25,26.51,1.0,6.0
3925,20-Mar,78.9,3667107000.0,1101535000,40,21.66,3.0,3.0
3926,20-Mar,90.8,4936987000.0,1538415000,-,-,0.0,2.0
3929,20-Mar,25.8,3924994000.0,201214000,12,93.74,3.0,3.0
3930,20-Jul,89.9,2542737000.0,276811000,-,-,0.0,1.0
3931,20-Jan,47,5763195000.0,64438000,10,27577.19,1.0,3.0
3932,20-Mar,71.3,32048000000.0,11053000000,30,2.1,2.0,2.0
3933,20-Mar,53.8,3186605000.0,241902000,2,3.91,0.0,1.0
3934,20-Mar,54.9,7701280000.0,1124017000,8,6.3,0.0,6.0
3935,20-Feb,44.4,2454361000.0,-176950000,-,-,0.0,0.0
3936,20-Mar,28.8,1300546000.0,-186862000,-,-,,
3937,20-Mar,58.4,4038254000.0,707908000,5,10.77,0.0,0.0
3939,20-Sep,82.8,1881444000.0,654473000,2,10.18,0.0,0.0
3941,20-Mar,33.9,684000000000.0,41227000000,20,14.25,1.0,9.0
3945,20-Mar,19,31895000000.0,477000000,60,25.93,0.0,9.0
3946,20-Mar,44,177000000000.0,6911000000,45,17.91,0.0,0.0
3947,20-Dec,58.6,52277000000.0,725000000,50,52.99,0.0,9.0
3950,20-Dec,71.4,78445000000.0,3275000000,60,47.58,1.0,9.0
3951,20-Mar,48.3,40460050000.0,1837357000,21,34.56,0.0,0.0
3953,20-Mar,70.1,5262991000.0,312452000,10,31.28,0.0,2.0
3954,20-Mar,64.1,21434868000.0,1361823000,38,17.15,4.0,9.0
3955,20-Jan,75.2,23421000000.0,675000000,15,28.74,3.0,7.0
3956,20-Mar,51,4582790000.0,115418000,4,18.55,1.0,8.0
3960,20-Jun,57,2477251000.0,137614000,-,-,0.0,2.0
3962,20-Sep,46.6,10542135000.0,4203095000,-,-,0.0,0.0
3963,20-Mar,87.5,2014534000.0,557679000,-,-,0.0,2.0
3965,20-Sep,55.1,6880005000.0,169218000,20,134.23,5.0,5.0
3967,20-Feb,80.9,1963995000.0,186550000,-,-,0.0,0.0
3969,20-Mar,76.6,1623295000.0,588329000,16,24.42,3.0,3.0
3974,20-Oct,60,2462247000.0,129382000,20,52.41,4.0,8.0
3976,20-Oct,40.2,1786111000.0,40084000,-,-,0.0,0.0
3978,20-Jun,35.7,41270000000.0,396000000,11,-,3.0,3.0
3984,20-Jun,89.1,1667483000.0,687219000,-,-,0.0,0.0
3985,20-Sep,51.9,2301573000.0,178081000,-,-,0.0,1.0
3986,20-Jun,79.3,1156854000.0,138592000,12,17.7,0.0,4.0
3987,20-Aug,53.7,2859046000.0,-339090000,-,-,0.0,0.0
3988,20-Jul,57.4,5890748000.0,344435000,13,13.97,0.0,0.0
3991,20-Aug,53.9,3094524000.0,443777000,-,-,0.0,3.0
3992,20-Sep,74.5,5364010000.0,492927000,16,32.91,1.0,4.0
3995,20-Jan,31.5,4899028000.0,99851000,-,-,0.0,0.0
3996,20-Feb,49.2,2122272000.0,-176471000,2.5,-,0.0,1.0
3998,20-Dec,72.1,1649000000.0,540000000,-,-,0.0,1.0
4005,20-Mar,25.3,2230000000000.0,1.38E+11,17,116.31,0.0,6.0
4008,20-Mar,64.1,99701000000.0,7775000000,100,32.18,0.0,9.0
4021,20-Mar,73.7,207000000000.0,38647000000,90,40.16,7.0,9.0
4022,20-Mar,41.8,29759000000.0,1871000000,40,23.02,0.0,9.0
4023,20-Mar,66.8,142000000000.0,18041000000,170,26.3,2.0,3.0
4025,20-Dec,62.7,30175000000.0,1759000000,45,22.19,0.0,4.0
4026,20-Apr,39.4,21198000000.0,927000000,20,30.5,0.0,0.0
4027,20-Mar,73.3,45435000000.0,5808000000,40,20.86,5.0,9.0
4028,20-Mar,44.5,101000000000.0,6188000000,20,20.31,2.0,10.0
4031,20-Mar,52.9,37561000000.0,1409000000,50,56.44,1.0,4.0
4041,20-Mar,67.1,145000000000.0,8135000000,80,26.84,0.0,8.0
4042,20-Mar,64,786000000000.0,81658000000,56,32.74,0.0,9.0
4043,20-Mar,44,316000000000.0,34281000000,70,20.93,1.0,1.0
4044,20-Mar,54.3,222000000000.0,7975000000,75,55.17,1.0,1.0
4046,20-Mar,62.4,105000000000.0,9698000000,65,24.27,0.0,10.0
4047,20-Mar,54.8,53679000000.0,7729000000,14,16.03,5.0,6.0
4061,20-Mar,50,381000000000.0,31587000000,125,45.79,5.0,9.0
4062,20-Mar,51.7,296000000000.0,19685000000,35,43.22,0.0,8.0
4063,20-Mar,82.1,1540000000000.0,4.06E+11,220,27.84,5.0,10.0
4064,20-Mar,39.9,46699000000.0,2557000000,40,18.78,2.0,9.0
4078,20-Mar,64.4,87177000000.0,4015000000,40,26.51,1.0,9.0
4082,20-Mar,56.6,26518686000.0,3110821000,20,19.6,6.0,6.0
4088,20-Mar,36.9,809000000000.0,50616000000,44,26.39,3.0,9.0
4091,20-Mar,23.4,850000000000.0,93921000000,28,21.91,5.0,9.0
4092,20-Mar,54.2,36243000000.0,2481000000,70,30.75,1.0,6.0
4093,20-Mar,50.1,33561410000.0,1523144000,45,34.09,7.0,9.0
4094,20-Mar,87.1,21521000000.0,2374465000,30,29.46,6.0,9.0
4095,20-Mar,66.1,119000000000.0,12601000000,24,28.03,0.0,0.0
4097,20-Mar,66.2,83598202000.0,5141348000,16,23.21,0.0,5.0
4098,20-Mar,48.6,8761000000.0,514000000,30,22.44,1.0,5.0
4099,20-Mar,70.2,51564000000.0,7848000000,24,23.98,1.0,10.0
4100,20-Mar,26.2,33147000000.0,-611000000,-,-,0.0,2.0
4102,20-Mar,55.1,11869000000.0,114430000,30,57.74,0.0,1.0
4107,20-Dec,82.7,16859000000.0,2185000000,90,30.31,1.0,2.0
4109,20-Mar,64,33729000000.0,2407000000,45,31.76,0.0,10.0
4112,20-Mar,61.8,37771000000.0,2902000000,50,21.26,0.0,1.0
4113,20-Mar,53,25671601000.0,2688977000,120,18.13,3.0,10.0
4114,20-Mar,67.2,302000000000.0,13178000000,180,64.7,3.0,7.0
4115,20-Mar,65.8,21284000000.0,3016000000,32,19.83,0.0,9.0
4116,20-Mar,50.1,155000000000.0,4850000000,77.5,39.68,0.0,9.0
4118,20-Mar,50.7,602000000000.0,26014000000,100,48.9,1.0,9.0
4119,20-Mar,42.7,38406827000.0,461500000,80,67.97,0.0,3.0
4120,20-Mar,57.3,5521594000.0,188357000,30,26.55,1.0,3.0
4124,20-Sep,86.9,1050767000.0,111839000,25,35.42,0.0,0.0
4151,20-Dec,87.2,318000000000.0,-,44,50.25,3.0,9.0
4182,20-Mar,63.8,613000000000.0,34260000000,70,70.24,5.0,9.0
4183,20-Mar,34.6,1350000000000.0,71636000000,100,57.43,5.0,5.0
4185,20-Mar,58.5,472000000000.0,32884000000,60,57.74,0.0,10.0
4187,20-Nov,76.5,28681000000.0,4442000000,46,30.09,5.0,7.0
4188,20-Mar,22.8,3580000000000.0,1.44E+11,32,105.04,5.0,9.0
4202,20-Mar,60.6,413000000000.0,29644000000,34,209.2,0.0,9.0
4203,20-Mar,62.5,207000000000.0,10285000000,75,43.2,2.0,6.0
4204,20-Mar,55.1,1130000000000.0,87768000000,46,35.93,10.0,10.0
4205,20-Mar,63.5,322000000000.0,26104000000,21,22.72,10.0,10.0
4206,20-Mar,63.9,192000000000.0,20850000000,106,53.84,10.0,10.0
4208,20-Mar,45.7,668000000000.0,34033000000,90,55.1,3.0,9.0
4212,20-Mar,77.3,67727000000.0,10353000000,50,31.06,10.0,10.0
4215,20-Mar,56.1,139000000000.0,7372000000,37,22.34,3.0,10.0
4216,20-Mar,66.7,56581000000.0,4368000000,50,30.69,2.0,9.0
4217,20-Mar,60.1,631000000000.0,23126000000,30,76.17,0.0,5.0
4218,20-Mar,62.3,44063000000.0,2975000000,33,44.95,0.0,0.0
4220,20-Mar,54.1,98808671000.0,5581820000,16,33.6,5.0,10.0
4222,20-Mar,-1.6,17867389000.0,183675000,-,-,0.0,9.0
4224,20-Mar,69.3,19895000000.0,1743000000,80,34.3,1.0,9.0
4228,20-Mar,44.1,136000000000.0,3725000000,30,58.46,0.0,7.0
4229,20-Mar,79.8,26983000000.0,1936000000,80,40.36,0.0,9.0
4231,20-Mar,69.4,39870160000.0,1301761000,14,152.73,0.0,7.0
4234,20-Mar,54.4,29698012000.0,181409000,18,-,0.0,9.0
4237,20-Mar,59.4,12170235000.0,345000000,6,44.51,0.0,8.0
4238,20-Jan,82.5,9582286000.0,1250251000,30,29.53,0.0,3.0
4240,20-Mar,91.2,835661000.0,26346000,-,-,0.0,1.0
4241,20-Mar,30.2,2977990000.0,157208000,3,114.02,0.0,7.0
4242,20-Mar,21.6,47030000000.0,2456000000,20,4.77,2.0,4.0
4243,20-Sep,67.9,3580823000.0,2000,5,-,0.0,0.0
4246,20-Mar,51.3,182000000000.0,8995000000,30,46.2,0.0,2.0
4248,20-Dec,53.2,14863000000.0,1778000000,19,48.58,8.0,8.0
4249,20-Mar,53.3,171000000000.0,5497000000,94,46.01,5.0,6.0
4272,20-Mar,75.2,175000000000.0,17485000000,30,40.53,0.0,9.0
4274,20-Mar,65.9,1549753000.0,168395000,6,24.53,0.0,2.0
4275,20-Mar,53.6,49745000000.0,1599000000,12,41.59,0.0,6.0
4282,20-Sep,62.6,66689000000.0,4553000000,20,56.19,0.0,0.0
4287,20-Jan,91.6,2426749000.0,247732000,7.4,86.83,0.0,6.0
4288,20-Mar,64.2,3126010000.0,44668000,-,0.01,0.0,0.0
4290,20-Mar,65.9,42377834000.0,4959095000,7,28.05,0.0,0.0
4293,20-Sep,45.9,17937745000.0,2274396000,2,17.27,0.0,1.0
4295,20-Mar,66.4,20093040000.0,385088000,10,-,0.0,9.0
4298,20-Mar,71.3,59127000000.0,5136000000,27.5,21.1,0.0,6.0
4299,20-Mar,78.4,15342000000.0,1012000000,25,35.11,5.0,9.0
4301,20-Mar,60.6,58806000000.0,5155000000,35,21.96,1.0,2.0
4304,20-Mar,24.1,4852935000.0,478056000,29,37.64,2.0,9.0
4307,20-Mar,50.9,529000000000.0,83178000000,32,28.29,1.0,10.0
4308,20-Mar,67.4,8442596000.0,547089000,6.5,30.74,1.0,1.0
4310,20-Mar,40.2,22755000000.0,12000000,-,-,0.0,1.0
4316,20-Mar,63.4,1494314000.0,101387000,-,-,0.0,6.0
4317,20-Feb,59.7,11925391000.0,1035461000,5,15.88,0.0,0.0
4318,20-Mar,69.8,21035714000.0,2930592000,45,40.89,9.0,9.0
4319,20-Mar,27,20331697000.0,162130000,5,107.46,4.0,7.0
4320,20-Sep,50.8,10603887000.0,547072000,6.8,83.95,0.0,0.0
4323,20-Mar,47.7,18019792000.0,970809000,28,-,0.0,9.0
4326,20-Jun,67.8,66880935000.0,3779872000,30,54.12,6.0,9.0
4327,20-Sep,86.1,2964756000.0,1391632000,96,45.52,9.0,9.0
4331,20-Mar,40.6,63678000000.0,3579000000,20,32.2,0.0,9.0
4333,20-Mar,68.7,11686067000.0,915044000,25,67.21,1.0,9.0
4334,20-Jan,33.1,3928546000.0,-527398000,10,-,0.0,10.0
4335,20-Jun,56.7,2672627000.0,50001000,5,78.16,1.0,9.0
4336,20-Mar,51.3,6410857000.0,146123000,10,23.35,1.0,5.0
4337,20-Mar,10.2,163000000000.0,1104000000,5,227.27,1.0,9.0
4341,20-Mar,44.3,20539000000.0,367000000,33,45.82,1.0,1.0
4342,20-Mar,86.7,24360000000.0,4462000000,95,42.64,6.0,10.0
4343,20-Feb,47.8,73492760000.0,3211520000,50,-,3.0,6.0
4344,20-Mar,70.3,17282086000.0,474608000,0.25,41.16,0.0,0.0
4345,20-Mar,66.9,9172000000.0,1852000000,12.2,41.03,8.0,8.0
4346,20-Sep,21.5,15728000000.0,-1627000000,45,-,5.0,8.0
4347,20-Mar,36.4,11506878000.0,505108000,-,-,0.0,5.0
4348,20-Mar,74.4,58375000000.0,8211000000,31,26.65,9.0,10.0
4350,20-Mar,14.2,105000000000.0,1615000000,10,-,0.0,8.0
4355,20-Oct,13.1,13230064000.0,98208000,6,-,0.0,3.0
4356,20-Dec,73.2,4800000000.0,686000000,20,12.05,3.0,9.0
4361,20-Nov,27.4,6628000000.0,80000000,30,61.92,0.0,4.0
4362,20-Mar,79.4,29047337000.0,3641212000,33,30.35,3.0,7.0
4364,20-Mar,73.8,9386634000.0,522097000,10,14.97,1.0,1.0
4365,20-Mar,84.8,31393000000.0,4751000000,300,29.12,1.0,1.0
4366,20-Mar,67.6,12417000000.0,812000000,8,16.22,0.0,0.0
4367,20-Mar,70.5,18528697000.0,1854916000,80,18.72,0.0,0.0
4368,20-Mar,87.1,41310689000.0,8830539000,46,23.28,0.0,5.0
4369,20-Jan,63.3,8267457000.0,2326925000,14.5,11.96,7.0,7.0
4380,20-Jan,72.4,684841000.0,147129000,5,24.4,1.0,1.0
4381,20-Mar,38,537267000.0,-174642000,-,-,0.0,0.0
4382,20-Apr,96.5,1544464000.0,459081000,-,-,0.0,2.0
4384,20-Jul,34.5,21494598000.0,-244281000,-,-,0.0,0.0
4386,20-Mar,52.2,4476290000.0,380765000,17,59.62,0.0,0.0
4387,20-Mar,62.8,1847178000.0,-106848000,-,-,0.0,0.0
4388,20-Mar,88.1,819128000.0,273659000,7,23.34,1.0,2.0
4389,20-Mar,76.9,1844133000.0,318425000,8.34,22.57,1.0,1.0
4390,20-Mar,49.9,6508904000.0,1070401000,-,-,0.0,0.0
4391,20-Jun,84.1,1536591000.0,250101000,-,-,0.0,0.0
4393,20-Sep,39.5,3061423000.0,-60232000,-,-,0.0,0.0
4394,20-Nov,94.8,877000000.0,89000000,15,61.7,1.0,6.0
4396,20-Jun,40.5,13376016000.0,754805000,10,3.36,1.0,3.0
4397,20-Aug,51.4,2445661000.0,285846000,-,-,0.0,0.0
4398,20-Jun,34.1,4176183000.0,342127000,10,17.41,0.0,0.0
4399,20-Sep,68,4548097000.0,235616000,-,-,0.0,0.0
4401,20-Mar,51.4,304000000000.0,22517000000,48,32.68,5.0,9.0
4403,20-Mar,75.6,181000000000.0,26874000000,78,33.84,8.0,9.0
4406,20-Mar,41.6,26839000000.0,428000000,3,24.13,0.0,1.0
4409,20-Mar,25.3,42155000000.0,2006000000,15,18.51,2.0,9.0
4410,20-Mar,49.2,71799094000.0,3752833000,38,43.61,4.0,10.0
4421,20-Sep,51.6,4283297000.0,106774000,12.5,48.95,4.0,5.0
4423,20-Mar,22.8,51494000000.0,8669000000,52.97,24.72,0.0,0.0
4424,20-Sep,56.3,7524525000.0,1097993000,-,-,0.0,0.0
4425,20-Mar,65.9,456343000.0,9378000,-,-,0.0,0.0
4427,20-Sep,48.5,8252280000.0,1869289000,30,18.06,0.0,0.0
4429,20-Feb,74.8,3088542000.0,402404000,-,-,0.0,0.0
4430,20-May,63.2,6730900000.0,509723000,15,15.48,0.0,0.0
4433,20-Aug,42.4,71499000000.0,3149000000,20.5,26.42,0.0,0.0
4434,20-Feb,67.9,6811373000.0,417570000,-,-,0.0,0.0
4437,20-Mar,59.3,5758873000.0,381485000,-,-,0.0,2.0
4440,20-Aug,76.7,2222802000.0,336760000,6,7.31,0.0,0.0
4441,20-Oct,81.7,1234315000.0,498654000,10.8,34.75,0.0,2.0
4452,20-Dec,55.5,1380000000000.0,1.76E+11,140,51.52,9.0,9.0
4461,20-Mar,38.8,61456000000.0,4154000000,70,52.98,0.0,9.0
4462,20-Mar,82.4,16785714000.0,1447302000,40,31.08,0.0,0.0
4464,20-Mar,87.6,24434278000.0,2421839000,24,28.86,4.0,9.0
4465,20-May,59.4,17723180000.0,1617818000,26,14.5,5.0,9.0
4471,20-Mar,71.4,156000000000.0,12439000000,140,38.93,6.0,10.0
4488,20-Mar,76.7,1591454000.0,432298000,-,-,0.0,0.0
4491,20-Mar,58.6,6146959000.0,327476000,40,11.49,0.0,0.0
4502,20-Mar,36.8,3290000000000.0,1.00E+11,180,638.73,0.0,9.0
4503,20-Mar,55.7,1300000000000.0,2.44E+11,40,37.67,7.0,9.0
4506,20-Mar,42.4,483000000000.0,83239000000,28,32.16,0.0,9.0
4507,20-Mar,87.7,333000000000.0,1.31E+11,103,25.47,8.0,10.0
4512,20-Mar,74.8,10916899000.0,-996278000,-,-,0.0,0.0
4514,20-Mar,51.8,52542000000.0,1507000000,17,61.33,0.0,9.0
4516,20-Mar,83.1,117000000000.0,21668000000,86,33.54,7.0,9.0
4517,20-Mar,90.6,11924796000.0,3068120000,60,32.03,0.0,1.0
4519,20-Dec,79.3,787000000000.0,3.01E+11,-,42.1,3.0,3.0
4521,20-Mar,81.4,89232000000.0,26512000000,150,30.44,0.0,9.0
4523,20-Mar,63.8,696000000000.0,1.26E+11,160,37.65,0.0,9.0
4524,20-Mar,69.6,9774000000.0,453000000,37.5,47.2,0.0,0.0
4526,20-Mar,45.5,82974000000.0,5307000000,42,-,0.0,0.0
4527,20-Mar,64.5,188000000000.0,23085000000,26,19.97,0.0,0.0
4528,20-Mar,83.5,292000000000.0,77491000000,45,38.15,0.0,9.0
4530,20-Feb,80.9,141000000000.0,22727000000,83,36.54,6.0,9.0
4531,20-Mar,52.1,10717000000.0,312000000,2,-,0.0,0.0
4534,20-Mar,76.6,102000000000.0,8807000000,80,72.51,0.0,4.0
4536,20-Mar,74.1,242000000000.0,33535000000,27,43.95,1.0,10.0
4538,20-Mar,46.7,46902000000.0,1010000000,60,86.85,0.0,9.0
4539,20-Mar,37.9,31756000000.0,364000000,50,83.26,0.0,9.0
4540,20-Mar,66,123000000000.0,18876000000,64,35.55,0.0,10.0
4541,20-Mar,34.4,190000000000.0,2873000000,30,37.31,0.0,5.0
4543,20-Mar,60.8,629000000000.0,1.11E+11,28,24.07,9.0,9.0
4544,20-Mar,47,189000000000.0,9939000000,130,-,0.0,9.0
4547,20-Mar,83,63234000000.0,1857000000,52,84.56,9.0,9.0
4548,20-Mar,87.2,28642000000.0,1960000000,26,-,0.0,1.0
4549,20-Mar,73.5,36585000000.0,4622000000,30,31.26,0.0,10.0
4550,20-Mar,91.4,12773000000.0,1144000000,30,223.19,0.0,9.0
4551,20-Dec,91.3,41700000000.0,4738000000,48,38.54,0.0,9.0
4552,20-Mar,66.6,24781000000.0,3244000000,8,36.93,2.0,8.0
4553,20-Mar,45.9,110000000000.0,16143000000,44,14.25,1.0,9.0
4554,20-Sep,64.5,33793000000.0,3139000000,29,43.36,4.0,9.0
4555,20-Mar,54.6,183000000000.0,26793000000,130,30.66,1.0,9.0
4556,20-Mar,65,4609421000.0,608810000,15,14.93,0.0,10.0
4557,20-Mar,73.7,9229857000.0,1334502000,-,-,0.0,5.0
4558,20-Mar,40.6,5166248000.0,71193000,5,434.9,0.0,9.0
4559,20-Mar,50.4,60426743000.0,4094824000,34,54.82,0.0,9.0
4568,20-Mar,62,982000000000.0,1.39E+11,23.33,35.14,0.0,10.0
4569,20-Mar,71.7,110000000000.0,7503000000,75,70.92,1.0,8.0
4574,20-Mar,76,14966165000.0,3824000000,16.67,20.36,0.0,0.0
4575,20-Jun,12,110000000.0,-566800000,-,-,0.0,9.0
4577,20-May,67.3,44991400000.0,5357313000,46,12.76,1.0,9.0
4581,20-Mar,82,289000000000.0,21460000000,110,47.52,1.0,3.0
4582,20-Dec,64.3,2987000000.0,-4506000000,-,-,0.0,0.0
4592,20-Jan,69.4,447226000.0,-5486070000,-,-,0.0,4.0
4598,20-Mar,95.1,100000000.0,-1545531000,-,-,0.0,1.0
4611,20-Mar,54.4,72709000000.0,5547000000,25,19.5,0.0,9.0
4613,20-Mar,49.4,407000000000.0,31510000000,30,40.53,4.0,9.0
4615,20-Mar,47.3,22538000000.0,594000000,5,29.17,0.0,9.0
4616,20-Nov,33.5,4880000000.0,-62000000,25,-,0.0,9.0
4617,20-Mar,54.8,87729000000.0,3498000000,34,-,0.0,10.0
4619,20-Mar,56.8,57191000000.0,2827000000,40,37.14,4.0,9.0
4620,20-Mar,66.3,53107417000.0,1750025000,16,41.25,0.0,9.0
4621,20-Mar,82.6,24519000000.0,1380000000,17.5,32.4,0.0,1.0
4623,20-Mar,66.1,13760835000.0,657396000,55,63.92,0.0,9.0
4624,20-Mar,81.5,7485871000.0,619032000,50,17.68,0.0,2.0
4625,20-Mar,69.3,10518255000.0,415664000,15,34.1,0.0,9.0
4626,20-Mar,48.7,70627000000.0,9136000000,130.2,99.2,0.0,0.0
4627,20-Oct,77.3,16247002000.0,1441297000,40,29.36,3.0,5.0
4628,20-Mar,83.6,96028000000.0,11236000000,350,12.5,0.0,10.0
4629,20-Mar,62.9,28063660000.0,1538168000,37,12.38,0.0,1.0
4635,20-Mar,54,42572000000.0,592000000,80,37.11,2.0,9.0
4636,20-Mar,62.5,48217000000.0,546000000,34,505.7,0.0,2.0
4640,20-Mar,69.4,2890657000.0,162557000,3,4.01,0.0,9.0
4642,20-Dec,81.2,6274000000.0,664000000,32,46.99,6.0,9.0
4644,20-Mar,85,5824649000.0,1126512000,30,33.88,0.0,2.0
4645,20-Feb,18.7,16463352000.0,308841000,8,878.81,0.0,0.0
4650,20-Mar,30.1,4602982000.0,175937000,-,0,0.0,0.0
4651,20-Mar,18.6,52531000000.0,2791000000,-,-,0.0,2.0
4653,20-Mar,61.4,36336638000.0,1514962000,20,27.85,1.0,2.0
