コード,年度,自己資本比率,売上高,営業利益,一株配当,配当性向,連続増配,減配なし
1821,20-Mar,27.1,472000000000.0,24765000000,24,24.78,4.0,4.0
1822,20-Mar,42.1,163000000000.0,8511000000,100,19.21,0.0,9.0
1824,20-Mar,24.8,488000000000.0,34045000000,20,26.29,5.0,9.0
1826,20-Mar,49.2,36494000000.0,1538000000,18,17.9,0.0,0.0
1827,20-Mar,42.1,117000000000.0,4104000000,14,16.41,5.0,7.0
1828,20-Mar,53.3,37708621000.0,2623267000,30,15.36,1.0,8.0
1833,20-Mar,53.1,226000000000.0,11516000000,143,76.49,0.0,0.0
1835,20-Mar,60.7,146000000000.0,14858234000,93,28.43,9.0,9.0
1840,20-Oct,58.9,28739621000.0,-501203000,1,-,1.0,3.0
1841,20-Mar,77.3,9000000000.0,562051000,25,23.6,1.0,9.0
1844,20-Jul,44.7,5187425000.0,540069000,7,21.99,0.0,2.0
1847,20-Mar,41.5,86513000000.0,4381000000,90,19.86,0.0,9.0
1848,20-Mar,34,27979000000.0,935000000,9,27.51,3.0,9.0
1850,20-Mar,31.3,40155000000.0,2263000000,-,-,0.0,0.0
1852,20-Mar,38,141000000000.0,6601000000,216,28.67,0.0,0.0
1853,20-Mar,51.6,26695000000.0,1368000000,14,56.18,2.0,9.0
1860,20-Mar,42.7,519000000000.0,35243000000,26,23.76,0.0,6.0
1861,20-Mar,39.5,436000000000.0,25440000000,120,24.04,5.0,9.0
1866,20-Mar,59.3,61951868000.0,3043988000,100,29.23,0.0,3.0
1867,20-Mar,44.7,51938659000.0,2360865000,90,18.46,0.0,9.0
1870,20-Mar,48.6,90129000000.0,7764000000,34,26.91,2.0,7.0
1871,20-Mar,41.6,106000000000.0,4881000000,20,47.17,6.0,9.0
1873,20-Oct,55.3,38932000000.0,1620000000,5,57.9,0.0,1.0
1878,20-Mar,32.6,1590000000000.0,1.28E+11,653,48.26,10.0,10.0
1879,20-Mar,62.6,113000000000.0,14501000000,19,10.53,5.0,9.0
1881,20-Mar,65.1,429000000000.0,36227000000,60,20.19,0.0,9.0
1882,20-Mar,50.4,109000000000.0,4753000000,140,14.77,1.0,1.0
1883,20-Mar,77.7,238000000000.0,19575000000,750,32.13,0.0,0.0
1884,20-Mar,58.5,149000000000.0,7515000000,180,25.88,1.0,2.0
1885,20-Mar,33.8,190000000000.0,7957000000,50,12.5,2.0,2.0
1887,20-May,50.8,119000000000.0,10367000000,28,46.64,7.0,7.0
1888,20-Mar,35.4,108000000000.0,5039000000,60,24.03,3.0,9.0
1890,20-Mar,41.3,175000000000.0,9268000000,15,19.61,0.0,0.0
1893,20-Mar,32.9,574000000000.0,33161000000,24,23.25,6.0,10.0
1898,20-Mar,49.1,78631000000.0,5961000000,47,16.66,2.0,2.0
1904,20-Mar,52.3,58074100000.0,1879173000,70,30.96,1.0,6.0
1905,20-Mar,63.5,18583097000.0,1139231000,33,27.82,1.0,8.0
1909,20-Mar,33.1,39846863000.0,2974829000,30,13.41,0.0,2.0
1911,20-Mar,32.1,1100000000000.0,51377000000,40,26.2,0.0,9.0
1914,20-Mar,75.3,24124000000.0,1032317000,10,42.45,0.0,9.0
1921,20-Mar,71.4,31683000000.0,2622048000,10,20.03,1.0,9.0
1925,20-Mar,37.3,4380000000000.0,3.81E+11,115,33.82,9.0,9.0
1926,20-Mar,67.4,106000000000.0,9874000000,41,27.94,6.0,9.0
1928,20-Jan,48.1,2420000000000.0,2.05E+11,81,38.99,8.0,8.0
1929,20-Mar,52.6,65516000000.0,4903000000,38,40.95,7.0,7.0
1930,20-Mar,67.3,49932000000.0,4766000000,25,17.88,9.0,10.0
1934,20-Mar,60.2,203000000000.0,6762000000,20,31.99,0.0,7.0
1938,20-Mar,65.1,61588507000.0,4529534000,27,15.22,4.0,5.0
1939,20-Mar,52.8,82728000000.0,3418000000,80,29.1,0.0,10.0
1941,20-Mar,75.7,169000000000.0,8333000000,104,120.75,0.0,9.0
1942,20-Mar,50.6,616000000000.0,34693000000,28,25.4,4.0,9.0
1944,20-Mar,70.8,586000000000.0,45026000000,32,20.69,8.0,9.0
1945,20-Mar,73.4,66520000000.0,3918000000,27,38.13,1.0,10.0
1946,20-Mar,37.5,225000000000.0,13307000000,150,29.11,5.0,9.0
1948,20-Mar,59.8,35654000000.0,2541000000,220,20.38,1.0,8.0
1949,20-Mar,52.7,173000000000.0,13581000000,70,23.66,8.0,8.0
1950,20-Mar,62.4,198000000000.0,16495000000,37,19.1,8.0,10.0
1951,20-Mar,59.9,525000000000.0,31100000000,80,56.17,7.0,9.0
1952,20-Mar,44.7,120000000000.0,6409000000,70,27.92,0.0,1.0
1954,20-Jun,44.7,112000000000.0,4590000000,75,43.76,0.0,6.0
1959,20-Mar,53.1,429000000000.0,36022000000,100,27.06,0.0,9.0
1960,20-Mar,65.5,46802976000.0,709242000,24,40.99,0.0,1.0
1961,20-Mar,48.2,208000000000.0,10674000000,95,58.99,2.0,9.0
1963,20-Mar,58.2,481000000000.0,20234000000,12,174.64,1.0,1.0
1964,20-Mar,44.1,38090000000.0,1711000000,60,41.07,0.0,4.0
1965,20-Mar,64.9,60926000000.0,4263000000,34,17.39,0.0,6.0
1966,20-Mar,39.6,49710057000.0,2302569000,20,6.33,0.0,3.0
1967,20-Mar,70,51464353000.0,3639152000,15,15.27,3.0,10.0
1968,20-Mar,52.4,119000000000.0,9450000000,90,24.6,2.0,2.0
1969,20-Mar,46,321000000000.0,17900000000,56,28.91,4.0,9.0
1971,20-Mar,41.6,7231454000.0,111704000,25,40.35,1.0,1.0
1972,20-Mar,60.2,33995000000.0,2366000000,100,46.76,0.0,0.0
1973,20-Mar,47.9,304000000000.0,16245000000,27.33,42.15,10.0,10.0
1975,20-Mar,38,104000000000.0,3661000000,125,35.1,0.0,9.0
1976,20-Mar,76,53073000000.0,6442000000,30,33.23,0.0,10.0
1979,20-Mar,50.2,225000000000.0,15439000000,100,35.85,5.0,5.0
1980,20-Mar,54.6,169000000000.0,9063000000,90,30.54,5.0,5.0
1981,20-Mar,62.3,34947998000.0,1183936000,24,21.55,0.0,0.0
1982,20-Mar,68.1,75890000000.0,3690000000,80,54.85,5.0,7.0
1992,20-Mar,59.8,5944830000.0,234538000,20,24.6,0.0,0.0
1997,20-Aug,58.2,8411043000.0,1033638000,55,13.79,0.0,1.0
2001,20-Mar,52.9,345000000000.0,11101000000,34,28.33,1.0,9.0
2002,20-Mar,59.3,712000000000.0,28852000000,34,43.78,6.0,8.0
2003,20-Mar,74.3,57544000000.0,4568000000,222,32.27,4.0,5.0
2004,20-Mar,49.2,254000000000.0,8808000000,65,30.19,1.0,9.0
2053,20-Mar,67.7,183000000000.0,6020000000,26,16.65,0.0,10.0
2055,20-Mar,64.2,41974743000.0,527986000,6,26,0.0,9.0
2060,20-Mar,42.3,215000000000.0,5414000000,25,23.11,0.0,4.0
2107,20-Mar,80.7,13515000000.0,969000000,50,28.76,1.0,9.0
2108,20-Mar,69.4,57021000000.0,1614000000,50,84.7,1.0,9.0
2109,20-Mar,58.4,114000000000.0,4848000000,50,87.16,0.0,8.0
2112,20-Mar,36.3,25659000000.0,1071000000,5,20.88,0.0,0.0
2114,20-Mar,78.9,18958964000.0,1491233000,11,24.67,0.0,5.0
2117,20-Mar,79,47809000000.0,2858000000,66,70.23,0.0,7.0
2120,20-Sep,60.5,35402758000.0,2497617000,5.29,50.42,0.0,0.0
2121,20-Mar,88.8,112000000000.0,17165000000,110,80.53,0.0,0.0
2122,20-Sep,55.4,24880448000.0,452103000,20,44.55,1.0,8.0
2127,20-Mar,81,32009882000.0,14247322000,26,36.24,9.0,9.0
2130,20-Mar,55.6,10607876000.0,1249603000,14,17.06,8.0,10.0
2136,20-Mar,57,5437767000.0,560200000,24,25.13,0.0,2.0
2138,20-Mar,29.8,33995137000.0,-97479000,-,-,0.0,1.0
2139,20-Mar,56.9,6936706000.0,-54785000,-,-,0.0,0.0
2146,20-Mar,41,101000000000.0,8040000000,-,55.42,0.0,0.0
2148,20-Mar,81.4,5278570000.0,1172203000,12,30.15,2.0,8.0
2151,20-Mar,34.1,37713000000.0,3298000000,20,26.4,0.0,1.0
2152,20-Mar,67.3,6729738000.0,1122633000,15,20.99,1.0,1.0
2153,20-May,65.2,30394000000.0,2984000000,25,12.86,2.0,8.0
2154,20-Jun,46.2,81755000000.0,4666000000,40,111.54,7.0,9.0
2156,20-Mar,44.6,8217704000.0,74501000,5,95.17,0.0,0.0
2157,20-Aug,51.4,43303711000.0,1147624000,12,-,0.0,0.0
2158,20-Mar,29.1,10470695000.0,-844443000,-,-,0.0,0.0
2159,20-Apr,58.9,21158305000.0,1074438000,3,6.94,1.0,3.0
2162,20-Mar,17.4,62611297000.0,920437000,5,30.6,2.0,6.0
2163,20-Jan,71.8,7002175000.0,886007000,20.5,35.51,6.0,6.0
2164,20-Aug,8.6,3258466000.0,-292047000,-,-,1.0,3.0
2168,20-May,22.7,325000000000.0,10577000000,19,119.87,2.0,9.0
2173,20-Mar,28.3,12921275000.0,645971000,17,21.26,2.0,9.0
2175,20-Mar,37.7,35140000000.0,4935000000,8.5,13.7,0.0,0.0
2176,20-Mar,23,2862443000.0,61801000,-,0,0.0,3.0
2178,20-Feb,43.3,50440437000.0,628195000,7,106.04,0.0,1.0
2179,20-Mar,30.3,12220134000.0,272449000,8.5,179.44,5.0,5.0
2180,20-Jun,37.3,14094205000.0,420829000,2,-,0.0,2.0
2181,20-Mar,39.9,971000000000.0,39085000000,30,92,8.0,9.0
2183,20-Mar,37.4,10935241000.0,1005235000,14,56.12,2.0,5.0
2185,20-Sep,77.9,17071139000.0,1818539000,50,20.56,2.0,9.0
2186,20-Feb,71.4,8344072000.0,633732000,30,53.27,6.0,6.0
2193,20-Dec,88,11095929000.0,151000000,-,-,,
2196,20-Mar,32.2,31430384000.0,1546777000,16,36.21,0.0,8.0
2198,20-Oct,44.1,8746260000.0,-3981192000,-,-,0.0,9.0
2201,20-Mar,55.7,209000000000.0,21230000000,72,30.68,4.0,9.0
2204,20-Mar,60.2,36120900000.0,-1392955000,85,248.04,0.0,1.0
2207,20-Mar,61.7,22995000000.0,-629000000,22,55.43,0.0,3.0
2208,20-Mar,61.1,118000000000.0,2919000000,23,28.16,6.0,10.0
2209,20-Mar,52.2,42309898000.0,359510000,24,228.17,0.0,10.0
2217,20-Jan,70.1,29523299000.0,1674299000,100,32.38,0.0,10.0
2220,20-Mar,61.6,104000000000.0,5813000000,52,24.09,7.0,10.0
