コード,年度,自己資本比率,売上高,営業利益,一株配当,配当性向,連続増配,減配なし
1850,20-Mar,31.3,40155000000,2263000000,-,-,0,0
1852,20-Mar,38,1.41E+11,6601000000,216,28.67,0,0
1853,20-Mar,51.6,26695000000,1368000000,14,56.18,2,9
1860,20-Mar,42.7,5.19E+11,35243000000,26,23.76,0,6
1861,20-Mar,39.5,4.36E+11,25440000000,120,24.04,5,9
1866,20-Mar,59.3,61951868000,3043988000,100,29.23,0,3
1867,20-Mar,44.7,51938659000,2360865000,90,18.46,0,9
1870,20-Mar,48.6,90129000000,7764000000,34,26.91,2,7
1871,20-Mar,41.6,1.06E+11,4881000000,20,47.17,6,9
1873,20-Oct,55.3,38932000000,1620000000,5,57.9,0,1
1878,20-Mar,32.6,1.59E+12,1.28E+11,653,48.26,10,10
1879,20-Mar,62.6,1.13E+11,14501000000,19,10.53,5,9
1881,20-Mar,65.1,4.29E+11,36227000000,60,20.19,0,9
1882,20-Mar,50.4,1.09E+11,4753000000,140,14.77,1,1
1883,20-Mar,77.7,2.38E+11,19575000000,750,32.13,0,0
1884,20-Mar,58.5,1.49E+11,7515000000,180,25.88,1,2
1885,20-Mar,33.8,1.9E+11,7957000000,50,12.5,2,2
1887,20-May,50.8,1.19E+11,10367000000,28,46.64,7,7
1888,20-Mar,35.4,1.08E+11,5039000000,60,24.03,3,9
1890,20-Mar,41.3,1.75E+11,9268000000,15,19.61,0,0
1893,20-Mar,32.9,5.74E+11,33161000000,24,23.25,6,10
1898,20-Mar,49.1,78631000000,5961000000,47,16.66,2,2
1904,20-Mar,52.3,58074100000,1879173000,70,30.96,1,6
1905,20-Mar,63.5,18583097000,1139231000,33,27.82,1,8
1909,20-Mar,33.1,39846863000,2974829000,30,13.41,0,2
1911,20-Mar,32.1,1.1E+12,51377000000,40,26.2,0,9
1914,20-Mar,75.3,24124000000,1032317000,10,42.45,0,9
1921,20-Mar,71.4,31683000000,2622048000,10,20.03,1,9
1925,20-Mar,37.3,4.38E+12,3.81E+11,115,33.82,9,9
1926,20-Mar,67.4,1.06E+11,9874000000,41,27.94,6,9
1928,20-Jan,48.1,2.42E+12,2.05E+11,81,38.99,8,8
1929,20-Mar,52.6,65516000000,4903000000,38,40.95,7,7
1930,20-Mar,67.3,49932000000,4766000000,25,17.88,9,10
1934,20-Mar,60.2,2.03E+11,6762000000,20,31.99,0,7
1938,20-Mar,65.1,61588507000,4529534000,27,15.22,4,5
1939,20-Mar,52.8,82728000000,3418000000,80,29.1,0,10
1941,20-Mar,75.7,1.69E+11,8333000000,104,120.75,0,9
1942,20-Mar,50.6,6.16E+11,34693000000,28,25.4,4,9
1944,20-Mar,70.8,5.86E+11,45026000000,32,20.69,8,9
1945,20-Mar,73.4,66520000000,3918000000,27,38.13,1,10
1946,20-Mar,37.5,2.25E+11,13307000000,150,29.11,5,9
1948,20-Mar,59.8,35654000000,2541000000,220,20.38,1,8
1949,20-Mar,52.7,1.73E+11,13581000000,70,23.66,8,8
1950,20-Mar,62.4,1.98E+11,16495000000,37,19.1,8,10
1951,20-Mar,59.9,5.25E+11,31100000000,80,56.17,7,9
1952,20-Mar,44.7,1.2E+11,6409000000,70,27.92,0,1
1954,20-Jun,44.7,1.12E+11,4590000000,75,43.76,0,6
1959,20-Mar,53.1,4.29E+11,36022000000,100,27.06,0,9
1960,20-Mar,65.5,46802976000,709242000,24,40.99,0,1
1961,20-Mar,48.2,2.08E+11,10674000000,95,58.99,2,9
1963,20-Mar,58.2,4.81E+11,20234000000,12,174.64,1,1
1964,20-Mar,44.1,38090000000,1711000000,60,41.07,0,4
1965,20-Mar,64.9,60926000000,4263000000,34,17.39,0,6
1966,20-Mar,39.6,49710057000,2302569000,20,6.33,0,3
1967,20-Mar,70,51464353000,3639152000,15,15.27,3,10
1968,20-Mar,52.4,1.19E+11,9450000000,90,24.6,2,2
1969,20-Mar,46,3.21E+11,17900000000,56,28.91,4,9
1971,20-Mar,41.6,7231454000,111704000,25,40.35,1,1
1972,20-Mar,60.2,33995000000,2366000000,100,46.76,0,0
1973,20-Mar,47.9,3.04E+11,16245000000,27.33,42.15,10,10
1975,20-Mar,38,1.04E+11,3661000000,125,35.1,0,9
1976,20-Mar,76,53073000000,6442000000,30,33.23,0,10
1979,20-Mar,50.2,2.25E+11,15439000000,100,35.85,5,5
1980,20-Mar,54.6,1.69E+11,9063000000,90,30.54,5,5
1981,20-Mar,62.3,34947998000,1183936000,24,21.55,0,0
1982,20-Mar,68.1,75890000000,3690000000,80,54.85,5,7
1992,20-Mar,59.8,5944830000,234538000,20,24.6,0,0
1997,20-Aug,58.2,8411043000,1033638000,55,13.79,0,1
2001,20-Mar,52.9,3.45E+11,11101000000,34,28.33,1,9
2002,20-Mar,59.3,7.12E+11,28852000000,34,43.78,6,8
2003,20-Mar,74.3,57544000000,4568000000,222,32.27,4,5
2004,20-Mar,49.2,2.54E+11,8808000000,65,30.19,1,9
2053,20-Mar,67.7,1.83E+11,6020000000,26,16.65,0,10
2055,20-Mar,64.2,41974743000,527986000,6,26,0,9
